idx,class,conversation
45,일상 대화,"좋은 아침
그 건 일정 어떻게 돼??
정확히 뭐가 필요한 거야? ㅎㅎ
응응
고마워!
좋은 하루 보내
안녕 ㅎㅎ
오늘까지 가능해?
혹시 다시 한 번 보내줄래?
확인했어"
46,일상 대화,"안녕하세요
바빠?
오늘 저녁 시간 돼?
혹시 다시 한 번 보내줄래?
확인했어
나중에 봐
안녕하세요
오늘 일정 어때?
내일 잠깐 볼 수 있어??
정확히 뭐가 필요한 거야?
응응
조심히 들어가
좋은 저녁
시간 괜찮아?"
47,일상 대화,"좋은 아침!
그거 어디서 샀어?
장소는 어디로 할까?
오케이
진짜 고마워
나중에 봐
안녕하세요
사이즈 어때?
그거 말한 거 맞지??
확인했어"
48,일상 대화,"좋은 아침
파일 공유해줄 수 있어?
혹시 다시 한 번 보내줄래?
좋아
감사합니다
내일 보자
좋은 저녁
이번 주 마감 괜찮겠어?
그거 말한 거 맞지??
응응"
49,일상 대화,"하이
수업 자료 봤어?
장소는 어디로 할까?
응응
고마워!
내일 보자
안녕
스터디 언제 할래?? ㅎㅎ
장소는 어디로 할까?
좋아 ㅎㅎ!"
50,일상 대화,"안녕하세요
비 온대
오늘 일정 어때?
커피 한 잔 할래?
좋아
내일 보자
좋은 아침 ㅎㅎ!
날씨 진짜 좋다
지금 어디야?
내일 잠깐 볼 수 있어?
좋아"
51,일상 대화,"좋은 아침
비 온대
뭐 해?
점심 뭐 먹을까?
넵
나중에 봐
좋은 저녁
오늘 춥다
시간 괜찮아?!
오늘 저녁 시간 돼?"
52,일상 대화,"좋은 아침
오늘 춥다
시간 괜찮아?
오늘 저녁 시간 돼?
넵
조심히 들어가
안녕하세요
날씨 진짜 좋다
바빠?
오늘 저녁 시간 돼??"
53,일상 대화,"오랜만
가격 괜찮아??
정확히 뭐가 필요한 거야?
넵
덕분에 살았다
나중에 봐!
좋은 아침
그거 어디서 샀어?
장소는 어디로 할까??
응응"
54,일상 대화,"하이
가격 괜찮아?
그럼 몇 시가 좋아?
오케이
감사합니다!
좋은 하루 보내
좋은 저녁
그거 어디서 샀어??
혹시 다시 한 번 보내줄래??
응응"
55,일상 대화,"하이
날씨 진짜 좋다
오늘 일정 어때? ㅎㅎ
오늘 저녁 시간 돼?
확인했어
나중에 봐
안녕
날씨 진짜 좋다!
바빠??
오늘 저녁 시간 돼?"
56,일상 대화,"좋은 저녁
스터디 언제 할래?
혹시 다시 한 번 보내줄래?
좋아
감사합니다
나중에 봐
하이
수업 자료 봤어?
그럼 몇 시가 좋아?
넵"
57,일상 대화,"안녕하세요
날씨 진짜 좋다
지금 어디야?
주말에 뭐 할 거야?
응응
조심히 들어가
안녕
오늘 춥다
시간 괜찮아?
주말에 뭐 할 거야??"
58,일상 대화,"오랜만
배송은 빨라?
그거 말한 거 맞지??
넵
감사합니다
조심히 들어가
하이
사이즈 어때?
그럼 몇 시가 좋아??
오케이
진짜 고마워 ㅎㅎ"
59,일상 대화,"안녕하세요
지금 어디야?
커피 한 잔 할래?
그거 말한 거 맞지?
좋아
나중에 봐
안녕
지금 어디야?
오늘 저녁 시간 돼?
혹시 다시 한 번 보내줄래?"
60,일상 대화,"좋은 아침
이번 주 마감 괜찮겠어?
그럼 몇 시가 좋아?
알겠어
덕분에 살았다
조심히 들어가
안녕하세요 ㅎㅎ
오늘까지 가능해?
그거 말한 거 맞지?
좋아"
61,일상 대화,"안녕하세요
파일 공유해줄 수 있어?
정확히 뭐가 필요한 거야?
응응
덕분에 살았다
좋은 하루 보내
좋은 저녁
그 건 일정 어떻게 돼?
장소는 어디로 할까? ㅎㅎ
넵"
62,일상 대화,"안녕하세요
그 건 일정 어떻게 돼?
혹시 다시 한 번 보내줄래?
확인했어
덕분에 살았다
좋은 하루 보내
좋은 저녁
회의 자료 다 됐어?
정확히 뭐가 필요한 거야??
알겠어 ㅎㅎ"
63,일상 대화,"안녕
교수님 공지 봤어?!
그거 말한 거 맞지? ㅎㅎ
좋아
진짜 고마워
내일 보자
안녕하세요
시험 범위 정리했어?
혹시 다시 한 번 보내줄래?
확인했어"
64,일상 대화,"좋은 저녁
뭐 해??
점심 뭐 먹을까?
정확히 뭐가 필요한 거야?
오케이
내일 보자
좋은 아침!"
65,일상 대화,"좋은 저녁
시간 괜찮아?
점심 뭐 먹을까?
정확히 뭐가 필요한 거야?
넵
나중에 봐
안녕하세요
뭐 해?!
주말에 뭐 할 거야?? ㅎㅎ"
66,일상 대화,"좋은 아침
오늘 춥다
바빠?
주말에 뭐 할 거야??
넵
그럼 이따 연락할게
좋은 저녁
비 온대
뭐 해?
점심 뭐 먹을까??"
67,일상 대화,"좋은 아침!
날씨 진짜 좋다
오늘 일정 어때? ㅎㅎ
점심 뭐 먹을까?
알겠어
좋은 하루 보내
오랜만
비 온대
뭐 해?
주말에 뭐 할 거야?
좋아 ㅎㅎ"
68,일상 대화,"하이
날씨 진짜 좋다
시간 괜찮아??
커피 한 잔 할래?
좋아
좋은 하루 보내
오랜만
비 온대
지금 어디야?
내일 잠깐 볼 수 있어??"
69,일상 대화,"하이
회의 자료 다 됐어?
정확히 뭐가 필요한 거야??
알겠어
고마워!
나중에 봐
좋은 저녁!
이번 주 마감 괜찮겠어?
그럼 몇 시가 좋아??
알겠어!"
70,일상 대화,"오랜만
그거 어디서 샀어??
그거 말한 거 맞지?
응응
진짜 고마워
좋은 하루 보내
안녕
사이즈 어때?
그거 말한 거 맞지?
확인했어"
71,일상 대화,"좋은 저녁
뭐 해?
커피 한 잔 할래?
정확히 뭐가 필요한 거야?
알겠어
좋은 하루 보내 ㅎㅎ
안녕하세요
뭐 해?
점심 뭐 먹을까?
혹시 다시 한 번 보내줄래?
응응"
72,일상 대화,"하이
날씨 진짜 좋다
지금 어디야?
내일 잠깐 볼 수 있어?
알겠어
내일 보자
안녕하세요
비 온대
지금 어디야?
오늘 저녁 시간 돼?"
73,일상 대화,"하이
시간 괜찮아?
주말에 뭐 할 거야?
그거 말한 거 맞지??
좋아
좋은 하루 보내
하이
뭐 해??
내일 잠깐 볼 수 있어? ㅎㅎ
그거 말한 거 맞지??
확인했어"
74,일상 대화,"하이
뭐 해?
커피 한 잔 할래??
그거 말한 거 맞지?
알겠어
나중에 봐
좋은 아침
오늘 일정 어때??
점심 뭐 먹을까??
그럼 몇 시가 좋아?
알겠어"
75,일상 대화,"좋은 저녁
이번 주 마감 괜찮겠어?
그럼 몇 시가 좋아?
좋아
진짜 고마워 ㅎㅎ
그럼 이따 연락할게
좋은 저녁
오늘까지 가능해?
정확히 뭐가 필요한 거야??
넵
덕분에 살았다
그럼 이따 연락할게
하이 ㅎㅎ"
76,일상 대화,"하이
파일 공유해줄 수 있어??
혹시 다시 한 번 보내줄래??
확인했어
감사합니다 ㅎㅎ
내일 보자
안녕 ㅎㅎ
그 건 일정 어떻게 돼?
그럼 몇 시가 좋아?
응응
감사합니다
그럼 이따 연락할게"
77,일상 대화,"안녕하세요
수업 자료 봤어?
그거 말한 거 맞지??
확인했어
땡큐
내일 보자
안녕
스터디 언제 할래?
그럼 몇 시가 좋아??
좋아"
78,일상 대화,"안녕하세요
스터디 언제 할래?? ㅎㅎ
장소는 어디로 할까?
넵 ㅎㅎ
고마워!
내일 보자
하이
스터디 언제 할래?!
그럼 몇 시가 좋아??
응응"
79,일상 대화,"하이
비 온대
뭐 해?
커피 한 잔 할래?
확인했어
좋은 하루 보내
안녕
오늘 춥다
오늘 일정 어때?
점심 뭐 먹을까?"
80,일상 대화,"좋은 아침
시험 범위 정리했어??
혹시 다시 한 번 보내줄래?
좋아
고마워!
그럼 이따 연락할게
안녕
시험 범위 정리했어??
그럼 몇 시가 좋아??!
오케이
땡큐
그럼 이따 연락할게
좋은 저녁"
81,일상 대화,"하이
회의 자료 다 됐어?
그럼 몇 시가 좋아??
응응 ㅎㅎ
덕분에 살았다
그럼 이따 연락할게!
안녕하세요
오늘까지 가능해??
장소는 어디로 할까?
알겠어 ㅎㅎ
감사합니다"
82,일상 대화,"오랜만 ㅎㅎ
오늘 일정 어때??
주말에 뭐 할 거야?
혹시 다시 한 번 보내줄래??
넵
좋은 하루 보내
안녕
바빠??
커피 한 잔 할래??
정확히 뭐가 필요한 거야?"
83,일상 대화,"안녕하세요 ㅎㅎ
교수님 공지 봤어??
혹시 다시 한 번 보내줄래?
알겠어
고마워!
조심히 들어가
안녕
수업 자료 봤어??
그거 말한 거 맞지??
알겠어 ㅎㅎ"
84,일상 대화,"좋은 아침
배송은 빨라??
그럼 몇 시가 좋아?
응응
고마워!
그럼 이따 연락할게 ㅎㅎ
좋은 저녁
가격 괜찮아??!
그거 말한 거 맞지?
응응"
85,일상 대화,"안녕하세요
그 건 일정 어떻게 돼??
혹시 다시 한 번 보내줄래?
오케이
감사합니다
내일 보자
안녕
이번 주 마감 괜찮겠어?
그거 말한 거 맞지?
좋아!"
86,일상 대화,"안녕
시험 범위 정리했어?
그럼 몇 시가 좋아??
확인했어 ㅎㅎ
감사합니다
좋은 하루 보내
안녕하세요
시험 범위 정리했어? ㅎㅎ
그거 말한 거 맞지?
응응
고마워!"
87,일상 대화,"안녕!
오늘까지 가능해??
혹시 다시 한 번 보내줄래??
알겠어
덕분에 살았다
좋은 하루 보내
오랜만
파일 공유해줄 수 있어?
장소는 어디로 할까?
넵"
88,일상 대화,"안녕하세요
날씨 진짜 좋다
시간 괜찮아?
점심 뭐 먹을까??
넵
좋은 하루 보내
안녕하세요
오늘 춥다
오늘 일정 어때?
점심 뭐 먹을까?"
89,일상 대화,"하이
지금 어디야?
내일 잠깐 볼 수 있어?
그거 말한 거 맞지?
오케이!
그럼 이따 연락할게
안녕
지금 어디야?
점심 뭐 먹을까?
그럼 몇 시가 좋아?
응응
내일 보자"
90,일상 대화,"좋은 저녁
날씨 진짜 좋다
바빠?
오늘 저녁 시간 돼??
확인했어
그럼 이따 연락할게
안녕"
91,일상 대화,"하이
그거 어디서 샀어?
정확히 뭐가 필요한 거야?
응응
진짜 고마워 ㅎㅎ
그럼 이따 연락할게
좋은 아침
사이즈 어때?
정확히 뭐가 필요한 거야?
넵
고마워!"
92,일상 대화,"좋은 아침
시간 괜찮아?
주말에 뭐 할 거야??
장소는 어디로 할까??
응응
내일 보자
좋은 저녁
바빠?
내일 잠깐 볼 수 있어?
그거 말한 거 맞지?
알겠어"
93,일상 대화,"안녕
오늘 일정 어때?
오늘 저녁 시간 돼?
그럼 몇 시가 좋아??
확인했어!
조심히 들어가!
하이
뭐 해?
주말에 뭐 할 거야?
장소는 어디로 할까??"
94,일상 대화,"오랜만
과제 어디까지 했어??
정확히 뭐가 필요한 거야?
넵
진짜 고마워
나중에 봐!
안녕하세요
과제 어디까지 했어??
장소는 어디로 할까??
확인했어"
95,일상 대화,"오랜만
파일 공유해줄 수 있어?
혹시 다시 한 번 보내줄래?
응응 ㅎㅎ
감사합니다
내일 보자
안녕"
96,일상 대화,"하이
시간 괜찮아?
오늘 저녁 시간 돼?
정확히 뭐가 필요한 거야?
좋아
좋은 하루 보내!
좋은 저녁
시간 괜찮아?
점심 뭐 먹을까?
혹시 다시 한 번 보내줄래?"
97,일상 대화,"안녕하세요
과제 어디까지 했어?
혹시 다시 한 번 보내줄래?
좋아
땡큐
나중에 봐
좋은 저녁
스터디 언제 할래?
장소는 어디로 할까?
오케이"
98,일상 대화,"안녕하세요
오늘 춥다
오늘 일정 어때?
내일 잠깐 볼 수 있어??
확인했어
그럼 이따 연락할게
안녕
날씨 진짜 좋다
지금 어디야??
내일 잠깐 볼 수 있어?"
99,일상 대화,"안녕
그 건 일정 어떻게 돼? ㅎㅎ
장소는 어디로 할까?
응응
감사합니다
좋은 하루 보내
안녕 ㅎㅎ
이번 주 마감 괜찮겠어?
그거 말한 거 맞지??
알겠어"
100,일상 대화,"안녕하세요
시험 범위 정리했어??
혹시 다시 한 번 보내줄래?
응응
덕분에 살았다
내일 보자
하이 ㅎㅎ
수업 자료 봤어?? ㅎㅎ
그럼 몇 시가 좋아?!
확인했어
고마워!!
그럼 이따 연락할게!"
101,일상 대화,"하이
오늘 일정 어때?
점심 뭐 먹을까?
혹시 다시 한 번 보내줄래?
오케이
조심히 들어가
안녕하세요
시간 괜찮아?
커피 한 잔 할래??
정확히 뭐가 필요한 거야? ㅎㅎ"
102,일상 대화,"좋은 아침
뭐 해? ㅎㅎ
오늘 저녁 시간 돼?
혹시 다시 한 번 보내줄래?
오케이
조심히 들어가
안녕 ㅎㅎ
지금 어디야?
오늘 저녁 시간 돼?
장소는 어디로 할까??"
103,일상 대화,"좋은 저녁
사이즈 어때??!
장소는 어디로 할까??
넵
땡큐
내일 보자
하이
가격 괜찮아??
그거 말한 거 맞지?"
104,일상 대화,"좋은 아침
과제 어디까지 했어?
정확히 뭐가 필요한 거야??
넵 ㅎㅎ
감사합니다
좋은 하루 보내
하이
시험 범위 정리했어??
정확히 뭐가 필요한 거야? ㅎㅎ
넵"
105,일상 대화,"오랜만
그거 어디서 샀어??
그럼 몇 시가 좋아?
확인했어
감사합니다
조심히 들어가!
안녕하세요
추천해줄 만해?
정확히 뭐가 필요한 거야??
좋아"
106,일상 대화,"좋은 아침
과제 어디까지 했어?
정확히 뭐가 필요한 거야??
응응
감사합니다
좋은 하루 보내 ㅎㅎ
좋은 저녁
스터디 언제 할래?
정확히 뭐가 필요한 거야??
응응"
107,일상 대화,"안녕하세요
오늘 춥다
시간 괜찮아?
내일 잠깐 볼 수 있어?
좋아
내일 보자
좋은 저녁
비 온대
시간 괜찮아?
오늘 저녁 시간 돼?"
108,일상 대화,"좋은 아침
회의 자료 다 됐어?
정확히 뭐가 필요한 거야?
응응
고마워!!
그럼 이따 연락할게
안녕하세요
그 건 일정 어떻게 돼?
그거 말한 거 맞지??
확인했어"
109,일상 대화,"하이
날씨 진짜 좋다!
바빠?
오늘 저녁 시간 돼? ㅎㅎ
알겠어
좋은 하루 보내
좋은 저녁
비 온대
지금 어디야??
커피 한 잔 할래?"
110,일상 대화,"하이
지금 어디야?
커피 한 잔 할래??
그거 말한 거 맞지?
넵
조심히 들어가
좋은 아침 ㅎㅎ
바빠?
커피 한 잔 할래?
그거 말한 거 맞지?"
111,일상 대화,"안녕
시간 괜찮아?!
오늘 저녁 시간 돼?
혹시 다시 한 번 보내줄래?
좋아
좋은 하루 보내 ㅎㅎ
안녕하세요
뭐 해??
점심 뭐 먹을까?
장소는 어디로 할까?"
112,일상 대화,"좋은 저녁
비 온대
지금 어디야??!
점심 뭐 먹을까??
넵
좋은 하루 보내
하이
오늘 춥다"
113,일상 대화,"안녕
오늘 춥다
오늘 일정 어때?
주말에 뭐 할 거야?!
알겠어
좋은 하루 보내
오랜만
날씨 진짜 좋다!
시간 괜찮아?? ㅎㅎ
주말에 뭐 할 거야?
확인했어
내일 보자"
114,일상 대화,"안녕하세요
날씨 진짜 좋다
시간 괜찮아?
내일 잠깐 볼 수 있어?
오케이
나중에 봐
안녕하세요
날씨 진짜 좋다
오늘 일정 어때?
내일 잠깐 볼 수 있어??
응응"
115,일상 대화,"좋은 저녁
이번 주 마감 괜찮겠어??
정확히 뭐가 필요한 거야?
오케이
덕분에 살았다
나중에 봐
좋은 저녁 ㅎㅎ
회의 자료 다 됐어?
그거 말한 거 맞지?
넵"
116,일상 대화,"하이
비 온대
오늘 일정 어때??
오늘 저녁 시간 돼?
넵
내일 보자
좋은 아침
비 온대!
바빠??
커피 한 잔 할래?
응응!"
117,일상 대화,"안녕
시험 범위 정리했어?
장소는 어디로 할까?
오케이
감사합니다
조심히 들어가
좋은 아침 ㅎㅎ
스터디 언제 할래?? ㅎㅎ
장소는 어디로 할까??
오케이"
118,일상 대화,"좋은 저녁
스터디 언제 할래??
그럼 몇 시가 좋아??
알겠어!
진짜 고마워
내일 보자
좋은 아침
시험 범위 정리했어?
정확히 뭐가 필요한 거야?
넵"
119,일상 대화,"좋은 아침
이번 주 마감 괜찮겠어?
정확히 뭐가 필요한 거야?
넵
진짜 고마워
나중에 봐
좋은 아침
파일 공유해줄 수 있어?
그럼 몇 시가 좋아?
넵"
120,일상 대화,"하이
비 온대
시간 괜찮아??
커피 한 잔 할래?
넵
그럼 이따 연락할게
안녕
날씨 진짜 좋다
바빠?
주말에 뭐 할 거야?"
121,일상 대화,"안녕하세요
배송은 빨라??
혹시 다시 한 번 보내줄래?
알겠어
감사합니다
내일 보자
오랜만
그거 어디서 샀어??!
그럼 몇 시가 좋아?
오케이 ㅎㅎ"
122,일상 대화,"좋은 아침 ㅎㅎ
바빠?
내일 잠깐 볼 수 있어??
정확히 뭐가 필요한 거야?
넵!
나중에 봐
좋은 아침!
지금 어디야?
오늘 저녁 시간 돼?
그거 말한 거 맞지?? ㅎㅎ"
123,일상 대화,"좋은 아침
시간 괜찮아?
내일 잠깐 볼 수 있어?
그럼 몇 시가 좋아??
오케이
그럼 이따 연락할게
좋은 아침
바빠?
오늘 저녁 시간 돼?
그거 말한 거 맞지?
응응
내일 보자"
124,일상 대화,"좋은 아침
시험 범위 정리했어??
혹시 다시 한 번 보내줄래??
좋아
감사합니다
내일 보자
좋은 저녁
수업 자료 봤어??
장소는 어디로 할까?
확인했어!"
125,일상 대화,"안녕
날씨 진짜 좋다
시간 괜찮아?
내일 잠깐 볼 수 있어??
오케이
나중에 봐 ㅎㅎ
좋은 저녁
오늘 춥다
뭐 해??
오늘 저녁 시간 돼?"
126,일상 대화,"안녕하세요
시험 범위 정리했어?
혹시 다시 한 번 보내줄래?
넵
감사합니다
내일 보자
안녕하세요
수업 자료 봤어? ㅎㅎ
장소는 어디로 할까?
확인했어"
127,일상 대화,"좋은 아침!
과제 어디까지 했어? ㅎㅎ
정확히 뭐가 필요한 거야?
좋아
덕분에 살았다
조심히 들어가
안녕하세요
교수님 공지 봤어??
그거 말한 거 맞지?
응응"
